Country,Value
Aomori,100
Hokkaido,200
Ishikawa,20
Chiba,500
Aichi,457
Akita,791
Ehime Prefecture,367
Fukui Prefecture,524
Fukuoka Prefecture,370
Fukushima,904
Gifu Prefecture,418
Gunma,475
Hiroshima,239
Hyogo Prefecture,852
Ibaraki,411
Ishikawa Prefecture,778
Iwate,403
Kagawa Prefecture,601
Kagoshima Prefecture,929
Kanagawa,774
K艒chi Prefecture,869
Kumamoto,536
Kyoto Prefecture,246
Mie Prefecture,184
Miyagi,490
Miyazaki Prefecture,152
Nagano,808
Nagasaki Prefecture,653
Nara Prefecture,582
Niigata,762
Oita,241
Okayama Prefecture,351
Okinawa Prefecture,881
Osaka Prefecture,152
Saga Prefecture,832
Saitama,281
Shiga,649
Shimane,839
Shizuoka,403
Tochigi,246
Tokushima Prefecture,706
Tokyo,851
Tottori Prefecture,829
Toyama,539
Wakayama Prefecture,422
Yamagata,525
Yamaguchi,584
Yamanashi,695
